fileName,screenName,funcName
broadMsgList.htm,PCS-SYS-026,Broadcast Message Maintenance
broadMsgNew.htm,PCS-SYS-027,Broadcast Message - Create
broadMsgEdit.htm,PCS-SYS-028,Broadcast Message - Edit
systemParam.htm,PCS-SYS-029,System Parameter Maintenance
uploadTransData.htm,PCS-TRN-001,Upload Bank Transaction Data File
summaryAfterUpload.htm,PCS-TRN-002,Match Bank Data with DPAS Fax Orders
dummyPcards.htm,PCS-TRN-003,Unregistered P-Cards
uploadPCMSData.htm,PCS-TRN-004,Upload GLD PCMS Data File
matchVerifyTrans.htm,PCS-TRN-005,Verify Bank Transactions by P-Card Holder
selectUserCode.htm,PCS-TRN-006,Search / Select User Code
UserCodeFromDPAS.htm,PCS-TRN-007,Allocate / Reallocate User Code From DPAS
changeUserCode.htm,PCS-TRN-008,Input / Change User Code for Payment
disputeForm.htm,PCS-TRN-009,Dispute Bank Transaction
approveCardTrans.htm,PCS-TRN-010,Certify Bank Transactions for Payment by P-Card Supervisor
checkTransFromAllHolders.htm,PCS-TRN-011,Process Certified Bank Transactions by E&SU Clerk
pcardDetailForCard.htm,PCS-TRN-012,Details of Transaction under Selected P-Card
pcardDetailForCard_2.htm,PCS-TRN-012-2,Details of Transaction under Selected P-Card
totalPayForSection.htm,PCS-TRN-013,Process Certified Bank Transactions by E&SU Supervisor
pcardDetailForSection.htm,PCS-TRN-014,Details of P-Card Holders under Selected Section
genPayFile.htm,PCS-TRN-015,Generate Payment File for Upload to GFMIS
downloadPaymentInterface.htm,PCS-TRN-016,Download Payment File
charges.htm,PCS-TRN-017,List of Ignored Bank Transactions
